,rank,institution,funding,year
36,0,CASE WESTERN RESERVE UNIV/CLEVELAND CLINIC LERNER,4313281,2021
37,0,MEDICAL UNIVERSITY OF SOUTH CAROLINA,3883331,2021
38,0,YALE UNIVERSITY,3661242,2021
39,0,UNIVERSITY OF SOUTHERN CALIFORNIA,3410384,2021
40,0,UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,3194155,2021
41,0,VIRGINIA COMMONWEALTH UNIVERSITY,3084129,2021
42,0,WAKE FOREST UNIVERSITY HEALTH SCIENCES,3068283,2021
43,0,UNIVERSITY OF NEBRASKA MEDICAL CENTER,3062576,2021
44,0,UNIVERSITY OF MISSOURI COLUMBIA,3010510,2021
45,0,MEDICAL COLLEGE OF WISCONSIN,2721933,2021
46,0,UNIVERSITY OF ARIZONA,2549118,2021
47,0,UNIVERSITY OF IOWA,2532836,2021
48,0,EAST TENNESSEE STATE UNIVERSITY,2255929,2021
49,0,ALBERT EINSTEIN COLLEGE OF MEDICINE,2242775,2021
50,0,UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,2137795,2021
51,0,HARVARD MEDICAL SCHOOL,2058926,2021
52,0,UNIVERSITY OF ILLINOIS CHICAGO,2055951,2021
53,0,LOYOLA UNIVERSITY CHICAGO,1867083,2021
54,0,UNIVERSITY OF VERMONT,1609364,2021
55,0,UNIVERSITY OF CINCINNATI,1565076,2021
56,0,UNIVERSITY OF SOUTH FLORIDA,1544940,2021
57,0,UNIVERSITY OF WASHINGTON,1526224,2021
58,0,UNIVERSITY OF NEW MEXICO HEALTH SCIENCES CTR,1511405,2021
59,0,UNIVERSITY OF OKLAHOMA HLTH SCIENCES CTR,1070532,2021
60,0,UNIVERSITY OF CONNECTICUT SCH OF MED/DNT,910146,2021
61,0,UNIVERSITY OF CALIFORNIA IRVINE,907901,2021
62,0,BOSTON UNIVERSITY MEDICAL CAMPUS,807796,2021
63,0,GEORGE WASHINGTON UNIVERSITY,801834,2021
64,0,UNIVERSITY OF TEXAS HLTH SCI CTR SAN ANTONIO,750022,2021
65,0,AUGUSTA UNIVERSITY,673667,2021
66,0,STATE UNIVERSITY OF NEW YORK BUFFALO,645880,2021
67,0,OREGON HEALTH & SCIENCE UNIVERSITY,601332,2021
68,0,UNIVERSITY OF TEXAS MED BR GALVESTON,540543,2021
69,0,UNIVERSITY OF NEVADA RENO,506528,2021
70,0,GEORGETOWN UNIVERSITY,479946,2021
71,0,ALBANY MEDICAL COLLEGE,452260,2021
72,0,UNIVERSITY OF TENNESSEE HEALTH SCI CTR,346500,2021
73,0,LOUISIANA STATE UNIV HSC NEW ORLEANS,326607,2021
74,0,UNIVERSITY OF LOUISVILLE,234125,2021
75,0,UNIVERSITY OF MASSACHUSETTS MED SCH WORCESTER,209375,2021
76,0,UNIVERSITY OF MISSISSIPPI MED CTR,162000,2021
77,0,,,2021
78,0,GRAND TOTAL,453982849,2021
79,0,,,2021
80,0,MEAN,5973458.5394736845,2021
81,0,Created 8 February 2022.,,2021
82,0,MEDIAN,3535813,2021
1,0,UNIVERSITY OF MICHIGAN ANN ARBOR,25604626,2020
2,0,WASHINGTON UNIVERSITY ST LOUIS,24824383,2020
3,0,DUKE UNIVERSITY,23284818,2020
4,0,OHIO STATE UNIVERSITY,20979772,2020
5,0,UNIVERSITY OF PITTSBURGH,19988802,2020
6,0,UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,15019508,2020
7,0,UNIVERSITY OF PENNSYLVANIA,14557518,2020
8,0,STANFORD UNIVERSITY,14392052,2020
9,0,UNIVERSITY OF COLORADO DENVER,14063870,2020
10,0,EMORY UNIVERSITY,13833562,2020
11,0,UNIVERSITY OF WISCONSIN MADISON,12542330,2020
12,0,UNIVERSITY OF MARYLAND BALTIMORE,12328770,2020
13,0,COLUMBIA UNIVERSITY HEALTH SCIENCES,12293441,2020
14,0,UNIVERSITY OF CALIFORNIA DAVIS,12197032,2020
15,0,JOHNS HOPKINS UNIVERSITY,11466497,2020
16,0,UNIVERSITY OF ROCHESTER,11310825,2020
